키워드,제목,내용,작성자,작성일,링크
"황소","황소 6-2심화 회전체 원기둥 답만 알려주실 천사분 계신가요?","","2025-04-23 15:20","터닝포인트3","https://cafe.naver.com/f-e/cafes/12877327/articles/739630"
"황소","황소 4ㅡ2 그래프부분 돋보기 필요한거 아닌가요?","","2025-04-23 13:28","후앙후이","https://cafe.naver.com/f-e/cafes/12877327/articles/739620"
"황소","황소편입 궁금한거 있어요~","","2025-04-23 12:35","포차코인생","https://cafe.naver.com/f-e/cafes/12877327/articles/739614"
"황소","4-1 3단원 곱셈과 나눗셈 응용문제 (황소) 참고할 교재 추천해 주세요","","2025-04-23 12:11","슬슬송송","https://cafe.naver.com/f-e/cafes/12877327/articles/739611"
"황소","초3 온라인 되는 어학원 없을까요..???","엠 3년째 다니는데 시스템이 지루하기도 하고
황소 가다보니 독서할 시간이 현저히 줄어서요
이동시간도 5~10분으로 가깝지만 온라인으로 바꾸고 싶네요..
주변엔 딱히 보낼데가 마땅치 않아요
대치 온라인 수업되는 학원으로 눈 돌렸는데
해빛 피아이 온라인수업은 초4부터 가능하다고 해서
레테는 취소 되었네요
혹시 온라인으로 듣는 친구들 어디로 가는지 궁금합니다~","2025-04-23 09:38","트윗트윗","https://cafe.naver.com/f-e/cafes/12877327/articles/739598"
"황소","황소 중1-1 6월개강","","2025-04-23 09:27","lacamla","https://cafe.naver.com/f-e/cafes/12877327/articles/739597"
"황소","황소는 언제 질문할수 있나요?(가끔 필기이해안됨. 유형 헷갈림 등)","","2025-04-23 00:44","후앙후이","https://cafe.naver.com/f-e/cafes/12877327/articles/739590"
"황소","황소 퀵테.단평 오답 안알려주는 지점들은 그냥 넘기시는거죠?","","2025-04-23 00:38","봉골렝","https://cafe.naver.com/f-e/cafes/12877327/articles/739589"
"황소","황소다니는 초3 스케쥴","","2025-04-21 21:02","네페스","https://cafe.naver.com/f-e/cafes/12877327/articles/739483"
"황소","황소 단평 문제","","2025-04-21 18:58","간계밥","https://cafe.naver.com/f-e/cafes/12877327/articles/739471"
"황소","황소에서 뭘 크게 배우고 온다고 생각하시나요?(조금 고민되네요)","","2025-04-21 15:59","봉골렝","https://cafe.naver.com/f-e/cafes/12877327/articles/739457"
"황소","황소 중간에 그만두시는친구들 있나요?","","2025-04-15 15:46","lllllllllliiiillllll","https://cafe.naver.com/f-e/cafes/12877327/articles/739024"
"황소","황소 중등 단평","","2025-04-15 11:05","안녕12356","https://cafe.naver.com/f-e/cafes/12877327/articles/738994"
"황소","황소 실력반 이상 친구들.. msc테스트 보면 RNA반 나오나요?","","2025-04-22 22:00","봉골렝","https://cafe.naver.com/f-e/cafes/12877327/articles/739578"
"황소","황소편입시험은 이제 왕수학스타일이 아닌건가요?","","2025-04-22 21:33","첵메이트","https://cafe.naver.com/f-e/cafes/12877327/articles/739576"
"황소","최상위로 6학년까지 선행한 아이들 황소","","2025-04-22 19:42","열매네","https://cafe.naver.com/f-e/cafes/12877327/articles/739569"
"황소","황소 초등 강급 기준","","2025-04-22 16:50","icylei","https://cafe.naver.com/f-e/cafes/12877327/articles/739548"
"황소","학교 단평과 황소","","2025-04-22 16:03","바인더맘16년","https://cafe.naver.com/f-e/cafes/12877327/articles/739539"
"황소","수학학원별 강점이 뭘까요?","무조건 어떤 학원이 답이라고 하기는 어렵다고 생각해서
학원별 장단점? 을 좀 보고 싶어서요
대치 수학학원들 잘 아시는 분 계시면 장단점을 알려주실 수 있을까요
학원도 되게 많더라구요 돌파 황소 수준영재 이든 생수 아카로드 등등
아직 대치쪽은 안 보내봐서 스트레스가 과하진 않을까도 걱정되네요..","2025-04-22 13:36","지완이엄마","https://cafe.naver.com/f-e/cafes/12877327/articles/739521"
"황소","황소 5-1  약수 배수 참고서적","","2025-04-16 22:35","너와나를응원해","https://cafe.naver.com/f-e/cafes/12877327/articles/739156"
"황소","황소 실력 5-1, 1단원 3,4 확학 답 부탁드려도 될까요?","","2025-04-16 21:47","빛나는콩","https://cafe.naver.com/f-e/cafes/12877327/articles/739149"
"황소","황소 4-2 일품 1차단평 평균 이하 충격이네요.","","2025-04-16 21:09","티니핑팡팡","https://cafe.naver.com/f-e/cafes/12877327/articles/739143"
"황소","(황소) 3월 시작 4-1 일품반 단평 평균이 어떻게 될까요?","","2025-04-16 19:38","포용","https://cafe.naver.com/f-e/cafes/12877327/articles/739131"
"황소","황소수학 도움 부탁드립니다.","","2025-04-16 17:06","유리멘탈마미","https://cafe.naver.com/f-e/cafes/12877327/articles/739116"
"황소","대치황소 광복절에 수업 하는지 안하는지 아시는분? ㅠㅠ","","2025-04-12 21:08","나무엇과도","https://cafe.naver.com/f-e/cafes/12877327/articles/738786"
"황소","황소 일품 4-1유급","","2025-04-12 20:35","페소","https://cafe.naver.com/f-e/cafes/12877327/articles/738785"
"황소","황소 5-1  혼합계산 반응 어떤가요?","","2025-04-12 16:45","너와나를응원해","https://cafe.naver.com/f-e/cafes/12877327/articles/738774"
"황소","학생 맟춤 꼼꼼한 여자쌤입니다.(고대졸업 수학 전문강사여깄습니다)","♧꼼꼼한 여자 쌤입니다
​
♧~2023.황소 입테/원ㆍ이든ㆍ돌파 백업 다수
2024. 황소 초등입테 5명 합격
황소 편입 합격
11월 원ㆍ이든ㆍ돌파 입테 합격
2025ing) 황소백업ㆍ단평준비
원ㆍ돌파 백업 및 중고등선행
필즈 백업및 선행(+성대경시)
​
+) 25학년도 
고려대수시입학ㆍ성균관대 입학
뉴욕대, 싸익, 파슨스, 미시간, 
usc캘리포니아,tufts 동시합격 (8월 입학예정!)
24학년도 
서울대 이과대ㆍ카이스트 동시합격
의대합격(탑3의대)
프랫, 리즈디, 파슨스, 뉴욕대 동시합격
22학년도 시카고대 합격
​
♧소...","2025-04-12 13:40","박쌤님","https://cafe.naver.com/f-e/cafes/12877327/articles/738761"
"황소","반포 수학과외 학생 모집- 학원 서브, 진도빼기, 국제학교 전문 <황소 필즈 소마>","안녕하세요 
저는 서울권 4년제 대학 수학과 4학년 졸업유예중인 학생이고, 여자선생님입니다. 
수학 과외 학생 모집합니다 
지금까지 100여명의 학생 수업 경력 있고, 
수업 7년차 입니다 (26세 입니다) 
예비초1-예비중1 학생 모집합니다
**반포 지역만 수업합니다**
​
*작년 황소 5명준비 5명 합격- 서브 진행중*
황소, 소마, cms, 필즈 레테 준비와 서브 경험 많구요, 학원 서브가 아닌 개인으로 진도 빼며 사고력 등 영역별 수학 수업도 가능합니다
국제학교 학생들도 수업하고 있으며, 국제학교 학생을 위한 math ...","2025-04-12 12:39","잠원","https://cafe.naver.com/f-e/cafes/12877327/articles/738758"
"황소","황소 단평때문에 과제 미뤄디는거 이거 맞는지 확인란번만 해주세요","","2025-04-12 12:10","언젠가되겠지","https://cafe.naver.com/f-e/cafes/12877327/articles/738757"
"황소","황소 5-1 1,2단원을 풀어보았어요..(승급하지말까요😳)","","2025-04-12 09:54","동동동이맘","https://cafe.naver.com/f-e/cafes/12877327/articles/738744"
"황소","황소 단평 후 숙제 문의드려요","","2025-04-11 20:40","언젠가되겠지","https://cafe.naver.com/f-e/cafes/12877327/articles/738708"
"황소","지인이 황소편입시험을 보고싶다는데요","아이들보는 지금 그반 레벨의 단평으로 편입시험을 보는건가요?
어떤엄마는 시험보고 난뒤 커트라인점수로 프라임 어드밴스로 나누어졌다고도하고..
그럼 편입시험 문제는 따로 시험지가 있는건지...
저는 물어본적도없고 생각해 본적이 없어서 ㅡㅡ 
갑자기 친구엄마가 묻는데 ...어떤시험지로 보는지 잘모르겠다고 ㅋㅋㅋ그랬네요","2025-04-11 20:16","아들둘둘둘딸","https://cafe.naver.com/f-e/cafes/12877327/articles/738706"
"황소","황소 초2입학비중이 얼마나될까요?","","2025-04-11 20:04","톨톨89","https://cafe.naver.com/f-e/cafes/12877327/articles/738705"
"황소","황소 레벨테스트만 받고 오시는분들 많나요?","","2025-04-11 16:10","아들셋v해피맘","https://cafe.naver.com/f-e/cafes/12877327/articles/738683"
"황소","황소 4-2 심화 사각형 질문드려요","","2025-04-16 13:42","빵빵떵떵1516","https://cafe.naver.com/f-e/cafes/12877327/articles/739097"
"황소","선행 과 황소  고민이에요~","","2025-04-16 12:16","이슬써니","https://cafe.naver.com/f-e/cafes/12877327/articles/739089"
"황소","황소 단평 퀵테 점수 리셋","","2025-04-16 09:56","날아랏어흥","https://cafe.naver.com/f-e/cafes/12877327/articles/739074"
"황소","황소 다녀도 수학 계산, 풀이 과정을 쓰는거 좋아지지 않네요","","2025-04-16 08:41","정소우","https://cafe.naver.com/f-e/cafes/12877327/articles/739069"
"황소","황소 4ㅡ2 사각형 질문이요~~","","2025-04-16 07:58","봉골렝","https://cafe.naver.com/f-e/cafes/12877327/articles/739068"
"황소","대치 황소 선생님 질문 드려요~","","2025-04-16 00:06","러블리제이제이","https://cafe.naver.com/f-e/cafes/12877327/articles/739067"
"황소","황소 5-1실력 68번(자연수혼합)","방정식이 아닌(아이의시선으로)
풀이방법을 알려주세요..","2025-04-15 23:35","빵꾸똥꾸2024","https://cafe.naver.com/f-e/cafes/12877327/articles/739065"
"황소","황소 중등과정 어떤가요?","","2025-04-15 22:21","할수있을테야","https://cafe.naver.com/f-e/cafes/12877327/articles/739058"
"황소","황소 확인학습 미정은 어쩔때 받는건가요","","2025-04-15 21:41","커피좋아요랄라","https://cafe.naver.com/f-e/cafes/12877327/articles/739054"
"황소","황소 선생님 변경","","2025-04-15 17:53","잉스스123","https://cafe.naver.com/f-e/cafes/12877327/articles/739036"
"황소","황소 다니는 아이 실수가 고쳐지지 않아요","","2025-04-15 16:01","행운한가득","https://cafe.naver.com/f-e/cafes/12877327/articles/739028"
"황소","황소 5-2 심화 확인학습 정답 궁금해요","","2025-04-19 00:03","곰팅도롱이","https://cafe.naver.com/f-e/cafes/12877327/articles/739306"
"황소","황소 심화4-1 규칙파트 미션 및 예제 ㅠㅠ","","2025-04-18 23:25","황금물고기","https://cafe.naver.com/f-e/cafes/12877327/articles/739303"
"황소","황소실력4-2 미션 6번(꺽은선그래프)","문제풀이와 답좀 부탁드려요
아이가 쓴답이랑 제가 푼답이랑 달라서요.","2025-04-18 22:43","빵꾸똥꾸2024","https://cafe.naver.com/f-e/cafes/12877327/articles/739300"
"황소","황소 심화 4-1 규칙 예제 답 좀 부탁드려요ㅠㅠ","","2025-04-18 22:03","황금물고기","https://cafe.naver.com/f-e/cafes/12877327/articles/739297"
"황소","기파랑 보내시는 분들 질문이요!~ 황소처럼 수업 시작 시기가 따로 있나요?","","2025-04-18 17:25","후앙후이","https://cafe.naver.com/f-e/cafes/12877327/articles/739284"
"황소","황소 편입시험 수준","안녕하세요:)
황소 일품반 편입 시험을 준비하려고 하는데
최상위 보다 훨씬 어려운 수준일까요?
추가로 어떤 문제집을 풀리면 좋을까요?
소프다니다가 해외에 다녀왔고 수학을 못하지는 않아요","2025-04-18 11:08","션스타","https://cafe.naver.com/f-e/cafes/12877327/articles/739261"
"황소","황소 5월 성취도 범위요^^","","2025-04-18 09:15","허브1012","https://cafe.naver.com/f-e/cafes/12877327/articles/739256"
"황소","황소 중등과정도 주2번가고 45만원인가요?","","2025-04-18 07:54","후앙후이","https://cafe.naver.com/f-e/cafes/12877327/articles/739252"
"황소","황소 부교재 앞에 붙이는 종이를 못받아왔다면?..(경험 좀 나눠주세요)","","2025-04-17 22:01","기다림과 믿음만 줄게","https://cafe.naver.com/f-e/cafes/12877327/articles/739239"
"황소","예비초4는 황소 4학년 과정에 들어가나요?","","2025-04-17 17:57","햇살처럼빛나리","https://cafe.naver.com/f-e/cafes/12877327/articles/739225"
"황소","황소 필기노트 ... 잘 활용하시나요?","","2025-04-17 17:37","후앙후이","https://cafe.naver.com/f-e/cafes/12877327/articles/739223"
"황소","수학) 신규과외학생 구합니다.","수학과 졸업 후 전문적으로 과외하고 있는 10년차 이상 여자 선생님입니다.
수업 가능 지역은 신반포역 부근 수업 합니다.
기본 개념을 정확히 이해하고 그것을 토대로 응용을 할 수 있도록 가르치고 있습니다.
황소, 원수학 에 다수 입학 시켰으며, 입학 후 과제 관리 및 추가학습도 지도하고있습니다.
학생의 스타일에 맞춰 맞춤 방식으로 수업방향 정해서 진행합니다.
전반적 학습 관리방법도 제시합니다.
수학에 흥미를 느끼고 자신감을 갖게하여 재미를 붙이게 합니다.
그 동안의 경력과 노하우는 배신하지 않습니다.
다양한 학생들을 가르쳐본 ...","2025-04-17 10:43","이오엠","https://cafe.naver.com/f-e/cafes/12877327/articles/739179"
"황소","황소 5월 중등 성취도 질문이요~","","2025-04-17 10:12","헤르하르트","https://cafe.naver.com/f-e/cafes/12877327/articles/739177"
"황소","황소 심화 5-1 2단원 도움 요청드립니다","","2025-04-17 09:48","달려라달려라","https://cafe.naver.com/f-e/cafes/12877327/articles/739175"
"황소","황소 5-1 (1~2단원배운곳까지)심화반 필기노트 및정답 공유.부탁드려봅니다 (도움받았습니다^^)","","2025-04-17 08:51","아라레요","https://cafe.naver.com/f-e/cafes/12877327/articles/739171"
"황소","황소 중등 부교재 에이급 22년개정판으로 사면 되나요??","","2025-04-21 10:33","주닌맘","https://cafe.naver.com/f-e/cafes/12877327/articles/739430"
"황소","황소 일품반 선행없이 다니는 애들 괜찮나요?","","2025-04-20 22:11","후앙후이","https://cafe.naver.com/f-e/cafes/12877327/articles/739403"
"황소","황소 단평 준비","중등과정 3월 시작해서 잘다니고 있구요
5월 첫단평이 있는데요.
처음이라 어떻게 준비하는지 문의드려요~~^^
개.예.미.확학 ~~ 
1) 쭉 1번다시 풀게하는지,
2) 애매, 틀린문제만 다시 점검하는지,
보통 어떻게 준비하시는지 궁금합니다~~^^","2025-04-20 18:15","고마워나의영웅","https://cafe.naver.com/f-e/cafes/12877327/articles/739391"
"황소","황소문제 시중문제집 짜집기는 아니겠죠?","","2025-04-20 11:13","lllllllllliiiillllll","https://cafe.naver.com/f-e/cafes/12877327/articles/739375"
"황소","초2 황소 가려면 어떻게 해야하나요?","","2025-04-14 00:27","곰돌초롱","https://cafe.naver.com/f-e/cafes/12877327/articles/738874"
"황소","황소 다니는 친구들 점프왕수학 최상위 정답률","","2025-04-13 18:46","달콤달콤","https://cafe.naver.com/f-e/cafes/12877327/articles/738839"
"황소","황소 중등 지점이동","","2025-04-13 16:59","뇽뇽이22","https://cafe.naver.com/f-e/cafes/12877327/articles/738831"
"황소","황소 승급 반이 없으면 어찌 되나요?","","2025-04-13 13:10","엄마부르지마","https://cafe.naver.com/f-e/cafes/12877327/articles/738819"
"황소","황소 편입 진입장벽이 좀 낮아졌을까요?","","2025-04-20 06:46","할수있을테야","https://cafe.naver.com/f-e/cafes/12877327/articles/739364"
"황소","황소 중등 강급 과제벌점 문의드려요","","2025-04-19 20:55","utumn","https://cafe.naver.com/f-e/cafes/12877327/articles/739352"
"황소","황소 6학년까지 다니고 바꿔야 할까요?","","2025-04-19 17:13","ysj1****","https://cafe.naver.com/f-e/cafes/12877327/articles/739340"
"황소","황소 초6-1학기 진도중이고 서브학원을 알아보고 있는데요,,,","","2025-04-19 15:35","으쌰으쌰하자","https://cafe.naver.com/f-e/cafes/12877327/articles/739337"
"황소","11월 황소 정기시험 일품.. 사고력은 안 보고 3-1/3-2 최상위,점프왕만 풀어도 될까요..??","11월 시험은 사고력이라고 들었는데 필즈 초급까지 풀 시간은 없을거 같아서요.. 진도도 니가야해서 ㅜㅜ 
일품이 목표일 경우라면.. 3-1, 3-2 최상위, 점프왕만 풀어도 될까요? ㅠㅠ 유형이 완전히 다른가요..!?","2025-04-19 15:20","홈런볼바밤바","https://cafe.naver.com/f-e/cafes/12877327/articles/739336"
"황소","황소 4-2편입 준비중인데요 ","일품반 준비중입니다 
점프왕 풀고 있어요 
왕문제 왕중왕 문제 이렇게 하는데 
정답률이 10프고는 아니에요
18문제 풀면 2-3문제는 틀려요ㅠㅠ
앞으로 한달 남았는데
2-3번 반복해서 풀고싶어도 
다른 숙제도 있고 시간이 잘 안나는데ㅠㅠ
아이는 너무 붙고싶어하고 
저는 은근 스트레스네요ㅠㅠ 
점프왕만 풀고가도 되는지ㅜㅜ
40문제라고 들었는데 110분 안에 푸는게 가능한지ㅠㅠ
너무힘들어서 하소연 해봐요ㅠㅠ","2025-04-19 15:02","하트유","https://cafe.naver.com/f-e/cafes/12877327/articles/739335"
"황소","황소 단평 문의합니다","","2025-04-19 14:55","일상이여행","https://cafe.naver.com/f-e/cafes/12877327/articles/739334"
"황소","황소 이대로 괜찮은걸까요?","","2025-04-19 14:15","아엠맘2","https://cafe.naver.com/f-e/cafes/12877327/articles/739332"
"황소","황소 중3 병렬 수업","","2025-04-19 13:08","에센녀8y","https://cafe.naver.com/f-e/cafes/12877327/articles/739328"
"황소","황소 단평은 어느정도 준비시켜 보내야되나요?","","2025-04-19 10:58","파파야 나무","https://cafe.naver.com/f-e/cafes/12877327/articles/739323"
"황소","황소중등 작도와 합동 단평","","2025-04-19 10:21","슬기롭고지혜롭게","https://cafe.naver.com/f-e/cafes/12877327/articles/739318"